Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:28:53 975,0.03,16.85,1709000,903000,8,17913,-561,330,4.273643,-2.4,5.62,3.37,5.62,2.25,16.85,0,0,0,0,0
15:28:54 098,0.03,29.13,1844000,903000,19,10243,-529,330,4.276402,-2.26,6.8,5.83,5.83,8.74,27.18,0.97,2.91,0,0.97,4.85
15:28:54 226,0.03,44.68,1844000,2362000,8,11942,-659,330,4.269007,-2.81,7.45,7.45,7.45,9.57,31.91,0,11.7,1.06,1.06,13.83
15:28:54 345,0.03,48.98,1844000,2362000,14,17913,-1075,330,4.243228,-4.56,3.06,5.1,7.14,6.12,21.43,3.06,13.27,4.08,4.08,24.49
15:28:54 482,0.03,52.75,1844000,2362000,14,17913,-1437,330,4.219864,-6.06,6.59,3.3,3.3,5.49,18.68,9.89,7.69,6.59,9.89,34.07
15:28:54 597,0.03,53.21,1844000,2362000,14,17913,-1845,330,4.194552,-7.74,4.59,3.67,6.42,8.26,22.94,7.34,7.34,7.34,8.26,30.28
15:28:54 710,0.03,52.27,1844000,2362000,7,17913,-1585,330,4.209792,-6.67,4.55,3.41,5.68,2.27,15.91,10.23,9.09,9.09,7.95,36.36
15:28:54 825,0.03,46.99,1402000,2362000,7,17913,-1627,330,4.207068,-6.84,1.2,6.02,2.41,3.61,13.25,7.23,8.43,8.43,9.64,33.73
15:28:54 950,0.03,54.26,1709000,2362000,1,17913,-1599,330,4.208585,-6.73,5.32,3.19,7.45,4.26,20.21,8.51,8.51,7.45,8.51,32.98
15:28:55 070,0.03,45.1,1844000,2362000,3,17913,-1452,330,4.218009,-6.12,5.88,4.9,3.92,4.9,19.61,10.78,4.9,5.88,4.9,26.47
15:28:55 187,0.03,28.26,1844000,2362000,8,17913,-1396,330,4.253881,-5.94,3.26,4.35,6.52,5.43,19.57,5.43,0,0,0,5.43
15:28:55 313,0.03,19.15,1402000,903000,7,17913,-577,330,4.271813,-2.46,6.38,5.32,3.19,5.32,20.21,0,0,1.06,0,1.06
15:28:55 433,0.03,23.96,1709000,903000,8,6576,-496,330,4.27734,-2.12,4.17,6.25,7.29,6.25,23.96,0,0,0,1.04,1.04
15:28:55 567,0.03,35.92,1844000,2362000,19,10243,-472,330,4.279411,-2.02,6.8,4.85,6.8,6.8,25.24,6.8,0.97,0,0,7.77
15:28:55 683,0.03,51.04,1844000,2362000,14,17913,-806,330,4.259133,-3.43,9.38,8.33,9.38,9.38,36.46,12.5,1.04,2.08,1.04,16.67
15:28:55 805,0.03,48.39,1402000,2362000,14,17913,-1152,330,4.238046,-4.88,4.3,4.3,6.45,4.3,19.35,12.9,5.38,6.45,7.53,32.26
15:28:55 930,0.03,58.1,1709000,2362000,16,17913,-1416,330,4.221114,-5.98,6.67,2.86,3.81,6.67,20,11.43,10.48,6.67,8.57,37.14
15:28:56 044,0.03,56.25,1844000,2362000,12,17913,-1757,330,4.199447,-7.38,4.17,2.08,7.29,4.17,17.71,8.33,9.38,9.38,9.38,36.46
15:28:56 166,0.03,51.11,1709000,2362000,7,17913,-1645,330,4.205515,-6.92,3.33,4.44,6.67,4.44,18.89,7.78,10,7.78,7.78,33.33
15:28:56 287,0.03,51,1844000,2362000,15,17913,-1493,330,4.210128,-6.29,4,4,7,3,18,9,9,9,8,35
15:28:56 402,0.03,47.31,1844000,2362000,5,17913,-1609,330,4.207723,-6.77,4.3,2.15,5.38,3.23,15.05,7.53,9.68,6.45,8.6,32.26
15:28:56 523,0.03,42.86,1709000,2362000,15,17913,-1467,330,4.216603,-6.19,4.4,4.4,5.49,6.59,20.88,2.2,4.4,4.4,10.99,21.98
15:28:56 639,0.03,19.59,1709000,2362000,7,17913,-736,330,4.260905,-3.14,4.12,4.12,4.12,3.09,15.46,0,1.03,0,0,1.03
15:28:56 752,0.03,13.64,1709000,903000,8,17913,-576,330,4.271563,-2.46,5.68,4.55,2.27,3.41,15.91,0,0,0,0,0
15:28:56 868,0.03,25,1844000,903000,14,6576,-497,330,4.276917,-2.13,3.26,9.78,5.43,3.26,21.74,0,1.09,1.09,1.09,3.26
15:28:57 010,0.03,29.35,1844000,2362000,24,10243,-464,330,4.279427,-1.99,6.52,4.35,6.52,5.43,22.83,0,0,4.35,1.09,5.43
15:28:57 129,0.03,49.54,1844000,2362000,9,17913,-666,330,4.267393,-2.84,8.26,11.01,8.26,8.26,35.78,0,0.92,11.93,1.83,14.68
15:28:57 251,0.03,49.49,1402000,2362000,10,17913,-1031,330,4.244779,-4.38,4.04,4.04,5.05,5.05,18.18,6.06,6.06,12.12,5.05,29.29
15:28:57 370,0.03,57.61,1402000,2362000,6,17913,-1438,330,4.219216,-6.07,4.35,4.35,6.52,2.17,17.39,9.78,9.78,10.87,10.87,41.3
15:28:57 502,0.03,48.89,1709000,2362000,12,17913,-1788,330,4.197111,-7.5,7.78,4.44,6.67,5.56,24.44,5.56,5.56,6.67,4.44,22.22
15:28:57 622,0.03,51.96,1402000,2362000,12,17913,-1588,330,4.208748,-6.68,3.92,1.96,5.88,4.9,16.67,8.82,8.82,6.86,9.8,34.31
15:28:57 742,0.03,51.02,1709000,2362000,11,17913,-1442,330,4.217749,-6.08,2.04,5.1,4.08,5.1,16.33,8.16,8.16,9.18,10.2,35.71
15:28:57 874,0.03,47.57,1709000,2362000,17,17913,-1543,330,4.211395,-6.5,4.85,1.94,3.88,5.83,16.5,7.77,6.8,4.85,9.71,29.13
15:28:57 996,0.03,45.05,1844000,2362000,15,17913,-1450,330,4.216834,-6.11,5.49,7.69,6.59,7.69,27.47,1.1,2.2,2.2,12.09,17.58
