Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:28:42 537,0.03,51.52,1844000,2362000,7,17913,-965,330,4.253838,-4.1,6.06,6.06,7.07,4.04,23.23,5.05,12.12,6.06,5.05,28.28
15:28:42 653,0.03,50,1709000,2362000,20,17913,-1350,330,4.229724,-5.71,4.44,4.44,4.44,5.56,18.89,5.56,12.22,7.78,6.67,32.22
15:28:42 777,0.03,52.75,1844000,2362000,10,17913,-1626,330,4.212205,-6.85,6.59,4.4,3.3,7.69,21.98,7.69,8.79,6.59,6.59,29.67
15:28:42 900,0.03,52.94,1402000,2362000,14,17913,-1627,330,4.211334,-6.85,2.94,2.94,4.9,2.94,13.73,9.8,9.8,10.78,9.8,40.2
15:28:43 016,0.03,49.45,1709000,2362000,7,17913,-1513,330,4.217799,-6.38,2.2,6.59,3.3,5.49,17.58,6.59,7.69,8.79,8.79,31.87
15:28:43 143,0.03,48.39,1844000,2362000,11,17913,-1536,330,4.216151,-6.48,3.23,3.23,4.3,3.23,13.98,6.45,8.6,8.6,8.6,32.26
15:28:43 266,0.03,42,1844000,2362000,10,17913,-1527,330,4.216367,-6.44,4,4,5,6,19,5,7,11,4,27
15:28:43 386,0.03,22.92,1844000,2362000,7,17913,-1164,330,4.238358,-4.93,5.21,4.17,6.25,4.17,19.79,0,0,2.08,0,2.08
15:28:43 501,0.03,15.79,1844000,2362000,12,17913,-631,330,4.272095,-2.7,3.16,2.11,4.21,4.21,13.68,0,0,0,0,0
15:28:43 615,0.03,18.89,1709000,903000,14,17913,-595,330,4.274751,-2.54,6.67,6.67,3.33,3.33,20,1.11,0,0,0,1.11
15:28:43 752,0.03,32.99,1844000,2362000,17,10243,-562,330,4.27726,-2.4,5.15,6.19,5.15,7.22,23.71,0,0,1.03,8.25,9.28
15:28:43 871,0.03,51.43,1844000,2362000,12,17913,-696,330,4.256519,-2.96,9.52,7.62,9.52,9.52,36.19,0,0.95,0.95,12.38,14.29
15:28:43 990,0.03,47.83,1844000,2362000,7,17913,-1419,330,4.224559,-5.99,2.17,5.43,4.35,5.43,17.39,4.35,5.43,5.43,13.04,28.26
15:28:44 110,0.03,58.51,1844000,2362000,8,17913,-1660,330,4.209497,-6.99,3.19,5.32,6.38,6.38,21.28,9.57,9.57,8.51,10.64,38.3
15:28:44 226,0.03,50.56,1844000,2362000,4,17913,-1702,330,4.205875,-7.16,4.49,2.25,4.49,5.62,16.85,6.74,8.99,6.74,6.74,29.21
15:28:44 341,0.03,60.22,1402000,2362000,12,17913,-1665,330,4.208056,-7.01,7.53,5.38,7.53,6.45,26.88,10.75,9.68,9.68,9.68,39.78
15:28:44 463,0.03,54.35,1402000,2362000,11,17913,-1564,330,4.213961,-6.59,3.26,4.35,5.43,4.35,17.39,8.7,6.52,9.78,8.7,33.7
15:28:44 580,0.03,52.43,1709000,2362000,6,17913,-1515,330,4.217177,-6.39,6.8,5.83,6.8,5.83,25.24,7.77,7.77,5.83,7.77,29.13
15:28:44 699,0.03,47.31,1844000,2362000,14,17913,-1310,330,4.229358,-5.54,9.68,7.53,9.68,7.53,34.41,10.75,0,1.08,2.15,13.98
15:28:44 821,0.03,25.81,1844000,2362000,13,17913,-1026,330,4.247343,-4.36,5.38,5.38,5.38,3.23,19.35,3.23,1.08,1.08,0,5.38
15:28:44 942,0.03,16.67,1844000,903000,11,10243,-623,330,4.272111,-2.66,1.96,4.9,3.92,3.92,14.71,0,0,0,0.98,0.98
15:28:45 060,0.03,21.74,1709000,903000,17,6576,-466,330,4.282622,-2,5.43,4.35,4.35,6.52,20.65,0,0,0,1.09,1.09
